Date,Agent,Place,Type,Deaths,T-I,Description / Reference,Source
1997,Rat Poison,Germany ,Chemical,0,C/Ex,"In an extortion attempt three jars of jam were spiked with rat poison in the towns of Neustadt Hamburg and Witteneberg respectively. ""The jar had a note attached to the inside of the lid saying 'Attention Poison.' "" "," Deutsche Presse-Agentur ""Second jar of jam laced with poison surfaces in Germany"" December 18 1997; Deutsche Presse-Agentur ""Blackmailer poisons jars of jam in Germany"" December 19 1997; Deutsche Presse-Agentur ""Suspect held in food company extortion case"" January 29 1998; AP ""Man confesses to putting poisoned jelly in German stores"" January 30 1998"
1997,Unknown Poison,Hong Kong,Chemical,1,C,"Suspect's surname ""Leung"" only given in newspaper reports. He spiked a bottle of apple juice with poison with a ""deadly poison."" "," AP ""Juice Poison Suspect"" November 19 1997"
1997,Arsenic,Japan,Chemical,0,C,Masumi Hayashi - implicated the following year in the Wakayama festival poisoning -  poisoned an acquaintance who'd come to dinner serving him gyudon laced with arsenic. The first attempt failed and she tried again on two subsequent occasions. Hayashi also tried on separate occasions to poison her husband and one of his former employees by spiking their food with arsenic. ," Japan Economic Newswire ""Wakayama man admits he possessed arsenic"" October 6 1998; Mainichi Daily News ""Woman Tried to Poison Her Victim Twice More"" October 6 1998; Mainichi Daily News ""New evidence in poisoning case- Arsenic found near Wakayama suspect's home"" October 10 1998; Alan Stokes ""Hairy Curry in Case of Wife and Death"" The Australian May 14 1999"
1997,Rat Poison,Japan,Chemical,0,C,Between December 1997 and February 1998 Hitoshi Oyanagi laced his pregnant girlfriend's meals with rat poison in an effort to kill the unborn child. ," Japan Economic Newswire ""Teacher arrested for poisoning pregnant girlfriend"" April 29 1998"
1997,Weed Killer,UK,Chemical,0,C ,Linda Ogston tried to poison her husband by spiking his vodka-and-coke. ," The Daily Mirror (UK) ""Wife's Poison Vodka Revenge"" June 27 1997"
1997,Arsenic,USA,Chemical,0,C,A 13 yr old girl in Florida put rat poison in her mother's food in an attempt to harm her. ," AP ""13-year-old girl charged with trying to poison mother"" April 4 1997"
1997,Arsenic / Mercury,USA,Chemical,0,C,Steve Allen White poisoned a colleague's food between April and November of 1997 in Tennessee. ," AP ""Bartlett man convicted of trying to poison friend business partner"" January 30 2000; AP ""Poisoning conviction draws 31-year sentence"" February 29 2000"
1997,Rat Poison,USA,Chemical,0,C/Ex,Hyung-Oh Cha as part of an extortion attempt against a local grocery store in Queens NY tampered with a single package of cookies lacing them with rat poison. A customer saw the warning Cha had placed in the package but ignored it and subsequently became sick. ," Laura Williams and Helen Kennedy ""Suspect Held in Poison Plot"" Daily News (New York) April 16 1997; Donald Bertrand ""Admits Laced Cookie Plot"" Daily News (New York) May 16 1997"
1997,Various,USA,Chemical,0,C,"Four pupils attempted to poison their teacher ""by spiking her food with a mixture of oils soaps and household cleaners."" Laboratory tests find the mixture was not fatal. The students were stopped before they could put the poison in her food. ATTEMPT?189 "," AP ""Four pupils charged with attempting to poison teacher"" August 23 1997"
1998,Cleaning fluid,Australia,Chemical,0,C,A councilwoman's cup of tea was spiked at a council meeting in Australia. ," Courier Mail (Queensland Australia) ""Poison fear in council's cuppa drama"" October 16 1998"
1998,Rat Poison,China,Chemical,5,C,Diao Ruying killed a neighbour's five children by giving them poison-laced sweets. ," AP ""Seven executed in China for murder theft"" January 19 1999"
1998,Cyanide,Columbia,Chemical,2,C,Easter gift baskets containing cyanide-laced wine have arrived on the doorsteps of at least two dozen Catholic priests killing one cleric and a lay worker. Traces of cyanide ammonia and methanol were found in the bottles of wine. ," AP “Poison Wine Kills Two in Colombia” April 10 1998; Tim Johnson The Miami Herald ""Who's Trying to Poison Priests in Columbia?"" April 11 1998; The Independent (UK) “Satanists Are Blamed For Priest’s Death” April 13 1998"
1998,Cyanide,Egypt,Chemical,1,C,John Allan killed his wife on holiday by putting cyanide in her gin and tonic. ," Colin Wilson ""As a Killer is Jailed for Poisoning His Lover…"" The Daily Mail (London) March 9 2000"
1998,Detergent/Bleach,Hong Kong,Chemical,0,C,"Shum Kin-Yung forced his girlfriend ""to drink a cocktail spiked with detergent and bleach."" "," Yulanda Chung ""Poisoning hearing delay"" South China Morning Post (Hong Kong) August 12 1998"
1998,Potassium Sodium,Hong Kong,Chemical,5,C,The 47-year old [Li Yuhui] a resident of Shantou in south China's Guangdong Province was charged with killing the five people on 21st July 1998 by offering them some so-called magic water which was in fact mixture of mineral water and potassium sodium that Li produced himself. ," BBC Summary of World Broadcasts ""Fortune teller sentenced to death for multiple murders"" March 24 1999"
1998,Temazepan,Ireland,Chemical,0,C,John Hope spiked two elderly ladies' drinks with Tamazepan (Normazon) apparently in order to sexually assault them. Hope got the prescription medicine from his mother. ," The Irish Times ""Poison case man jailed for five years"" May 11 2000"
1998,Arsenic,Japan,Chemical,4,C,Masumi Hayashi responsible for curry poisoned at a summer festival in Wakayama. ," Mainichi Daily News ""New evidence in poisoning case- Arsenic found near Wakayama suspect's home"" October 10 1998; Mainichi Daily News ""Police discover arsenic in Hayashis' kitchen"" November 12 1998; Masahiro Shinozaki ""Intoxication with Arsenic Mixed-in Curry in Wakayama"" available at: http://pdm.medicine.wisc.edu/shinozaki.htm"
1998,Cyanide,Japan,Chemical,0,C,On Tuesday a 29-year-old supermarket manager Suzaka Nagano province managed to avoid death when he went to drink tea which had been spiked with cyanide reports said Wednesday….Police said someone had injected the poison in relatively concentrated form through a 3-4 millimetre hole in the base of the tea box. ," Deutsche Presse-Agentur ""More cases of attempted poisoning hit Japan"" September 2 1998"
1998,Disinfectant,Japan,Chemical,0,C,A 15 yr old schoolgirl mailed soft drinks filled with disinfectant to 27 of her classmates and teachers. Most thought it smelled suspicious except for one enterprising 14 yr old that drank some of the bottle and was promptly taken to the hospital with burns to his throat and stomach. ," Deutsche Presse-Agentur ""Japanese schoolgirl admits poisoning pupils"" September 8 1998"
1998,Insecticide,Japan,Chemical,0,C,A man in western Japan escaped injury Wednesday when he spat out liquid from a drinks bottle which had been contaminated with insecticide. ," Deutsche Presse-Agentur ""More cases of attempted poisoning hit Japan"" September 2 1998"
1998,Sodium Azide,Japan,Chemical,0,C,Ten employees at a timber processing plant in Niigata city north of Tokyo were hospitalised yesterday after drinking tea and coffee made with hot water that police believe might have been poisoned. ," Kwan Weng Kin ""10 in Japan hit by 'poisoned' drinks"" Straits Times 11 August 1998; Stephanie Strom ""10 Japanese In Hospital; 2d Poisoning Is Suspected"" The New York Times August 11 1998; Elaine Lies ""Japan Lives in Fear after Second Poisoning"" Birmingham Post August 12 1998"
1998,Unknown Poison,Japan,Chemical,0,C,A woman working in a convenience store Thursday night in the western city of Nagoya swallowed a mouthful of pineapple juice and immediately vomited. ," Joseph Coleman ""Rash of summer poisonings puts Japan on edge"" AP September 4 1998"
1998,Mercury,UK,Chemical,0,C,William Smith a maintenance engineer at the science dept of Exeter University put mercury into the biological sciences dept tea kettle. ," Daily Mail (London) ""Ugh Tea is Poison"" July 17 1998."
1998,Antifreeze,USA,Chemical,0,C,Karen Hartman of Iowa tried to kill her husband by lacing his beer with antifreeze. ," AP ""Woman accused of poisoning husband"" February 14 1998"
1998,Antifreeze,USA,Chemical,1,C,Mark Jensen slipped antifreeze into his wife's food or drink killing her. ," AP ""Judge raises bond in poisoning death case after testimony"" July 31 2007; Carrie Antlfinger ""Mark Jensen sentenced to life in prison in wife's killing"" AP February 27 2008"
1998,Cleaning product,USA,Chemical,0,C,Two teenagers tried unsuccessfully to poison their parents by putting household cleaning agents (unnamed) in their ice tea. The drink smelled funny the parents called the police. ," The New York Times ""2 Charged in Attempt To Poison Parents"" October 12 1998; AP ""Teen pleads guilty in plot to poison parents"" November 5 1998"
1998,Cyanide,USA,Chemical,0,C,"A postal worker noticed Kathryn Schoonover ""filling the envelopes next to a container on the counter labelled with poison symbols."" Schoonover had planned to post over a 100 envelopes with the cyanide labelled as a nutritional supplement. "," Andy Lines ""Cyanide in the Post"" The Mirror (UK) August 25 1998"
1998,Iodine ,USA,Chemical,0,C,A 12-yr old girl who shot her mother a year later attempted to poison her mother and her friend by putting iodine pills in the mother's coffee and in the salt & pepper shakers. ," AP ""Teen suspected of shooting mother allegedly also tried to poison her"" July 22 1999"
1998,Iodine-125,USA,Radiological,0,C,"Cheng Gu stole the iodine-125 and laced it in with his ex-girlfriend and roommates meals. While radiological the level of radiological contamination was ""equal to what you would get in a medical diagnostic procedure."" "," Felice J. Freyer ""Brown University grad student charged with poisoning fellow students with radioactive material in food"" Providence Journal November 14 1998; AP ""Student Admits to Poisoning"" October 15 1999; AP ""Ex-Brown student gets probation in girlfriend's poisoning"" January 7 2000"
1999,Oleander,Australia,Biological,0,C,Annmarie Hughes tried to poison her husband by putting oleander in his tea. ," Matthew Horan ""Woman 'tried to poison husband with oleander'"" The Advertiser July 10 1999"
1999,Arsenite,Japan,Chemical,0,C,Traces of arsenite--a deadly poison--were found in a hot water pot at a design studio in Kagoshima after five people were taken to hospital police said Friday. ," The Daily Yomiuri (Tokyo) ""Poison found in office hot water pot"" October 9 1999"
1999,Superphosphate Fertiliser,New Zealand,Chemical,0,C,Facility attack. A workman at a water treatment plant found a padlock had been cut and a fertiliser poured into the water intake. Water supplies for this small town were cut off while tests were run. Results showed contamination was minimal no health risks to people. ," The Evening Post (Wellington) ""Bid to poison town's water"" December 23 1999"
1999,Insecticide,South Africa,Chemical,1,C,Two women were arrested for lacing tea with an insecticide on a farm in KwaZulu-Natal. ," SAPA (South African Press Association) ""Three Women Appear in Court for with Poison Murder [sic]"" September 23 1999"
1999,Insecticide,Thailand,Chemical,0,C,"As a prank a boy named in newspapers as ""Chai"" laced his friends' instant noodles with a carbamate-based insecticide. No charges were brought. "," Anan Paengnoy ""Boy Poisons Friends in School-Yard Prank"" Emerging Markets Datafile November 16 1999"
1999,Copper Sulfate,UK,Chemical,0,C,A 15-yr old student in Greater Manchester placed the copper sulfate/sulphate in their teacher's coffee. The teacher noticed the taste after a single taste and did not suffer any ill-effects. ," Caroline Sigley ""Pupil Suspended for Poisoning Teacher's Drink"" Press Association March 1 1999"
1999,Antifreeze,USA,Chemical,0,C,Donald Paul Ayres put antifreeze in his two daughters' drinks. ," AP ""Father who gave daughters antifreeze acquitted of attempted murder"" July 21 2000"
1999,Bleach/Insecticide,USA,Chemical,0,C,A 15 yr old boy in Louisiana put bleach in his grandmother's orange juice and rat poison in his cousin's hamburger. Another child in the house warned them and no harm befell them. ," AP ""Coronor: it's doubtful murder suspect poisoned mother"" October 14 1999."
1999,Drano,USA,Chemical,0,C,Lorraine B. Gray sent bottles of a fruit drink tainted with Drano to seven colleagues. None of the employees drank the juice. ," AP ""Caseworker allegedly tried to poison colleagues to help clients"" September 2 1999"
1999,Prescription Drug,USA,Chemical,0,C,The special education student in Arizona Daniel Arnulfo Ortega Jr. was charged with attempted first-degree murder after lacing a teacher's aide soft drink with Risperdal an anti-psychotic. Two other students drank from a second can but were uninjured. ," AP ""Yuma high schooler accused of trying to poison teacher's aide"" October 26 1999"
1999,Rat Poison,USA,Chemical,0,C,Erica Babson tried to poison her parents by unscrewing the cap to the water faucet and placing some rat poison inside. The parents noticed the water didn't run properly and so didn't consume the tap water. ," AP ""Teen charged in poison attempt"" October 20 1999"
2000,Arsenic,Canada,Chemical,0,C,Arsenic was added to the reservoir tank of a vending machine serving coffee sickening 27 people. The dosage was not high enough to be fatal. ," AP ""Coffee from vending machine poisons Quebec City students"" June 2 2000"
2000,Rat Poison,China,Chemical,3,C,"Wang Pengjiao ""put rat poison in her neighbour’s' food and water on six occasions"" killing 3 and injuring 2 in Qingfeng County Henan Province. "," Agence France-Presse ""China executes jealous woman for poisoning neighbors"" 15 February 2001"
2000,Tetramine,China,Chemical,0,C,In 2000 a migrant worker in Nanchang County in Jiangxi Province laced the meal of a boarding house with the same rat poison and made 48 co-workers ill. ," Japan Economic Newswire ""Rat poison 'Dushuqiang' though banned grips China for years"" September 16 2002"
2000,Unknown Poison,Ghana,Chemical,2,C,Adjoa Badu poisoned meal of her husband and his other wife. ," Magdalene Sey ""Woman Sentenced to Death"" Ghanaian Chronicle April 15 2008"
2000,Chemical Herbicide,Italy,Chemical,0,C,The sacristan of a church Alfio Rizzo near Catania in Sicily attempted to murder the local priest by replacing the communion wine with a weed killer/herbicide. ," The Birmingham Post (UK) ""Sacristan Arrested Over Bid to Poison Priest in Mass"" February 26 2000; Sunday Mail (Queensland Australia) ""Priest Given Poison Chalice"" February 27 2000"
2000,Insecticide,Japan,Chemical,0,C/Ex,A package of curry was contaminated with insecticide and labelled poisoned was found on the shelves of a shop in Hamamatsu. An extortion letter was sent to the manufacturer. ," Takeshi Esaki ""Corporate extortionists' pranks no joke"" The Daily Yomiuri (Tokyo) August 30 2000"
2000,Prescription Drug,Japan,Chemical,0,C,Yukiko Sakanaka allegedly laced her daughter's food and drinks with an asthma medication on six occasions.," The Daily Yomiuri ""Nurse charged with attempting to murder daughter with poison"" 7 October 2000"
2000,Mercury ,UK,Chemical,0,C,Edward Latham was sentenced to life in prison for attempting to kill a friend by putting mercury from a medical thermometer in their drink (even though such mercury is not toxic). ," Graham Hiscott ""Man Tried to Poison Friend with Mercury Court Told"" Press Association May 11 2001"
2000,Gopher Poison,USA,Chemical,0,C,Joseph Novak broke into an acquaintance's house slipping poison into their dog's food and the gopher poison (and allegedly urine) into a bottle of gin and a drink mix. ," AP ""Woman claims Internet friend killed dog poisoned drink"" May 10 2000"
2000,Antifreeze,USA,Chemical,1,C,Prosecutors believe [Angela Rodriguez] put enough poisonous oleander in her husband's meals to send him to the hospital and then killed him at home by lacing Gatorade with antifreeze. ," AP ""California woman sentenced to death for poisoning husband with antifreeze oleander"" January 12 2004"
2000,Arsenic,USA,Chemical,0,C,"Marshall Howard Murdock poisoned his girlfriend with arsenic. Murdock purchased from a mail-order company ""a pound of sodium cyanide 4 ounces of arsenic powder and 4 ounces of arsenic acid. All three shipments were sent to his home address under the name Cornerstone Technologies."" Murdock also poisoned his wife with thallium in January 2001 (see 2001 reference). "," AP ""Tennessee man sentenced for giving Rankin woman arsenic"" August 30 2002"
2000,Arsenic,USA,Chemical,1,C,Ann Miller Kontz put arsenic (either from ant or rat poison) into her husband's meals. ," Aaron Beard ""Trial date set for Kontz in arsenic death case"" February 10 2005; Aaron Beard ""Wife Pleads Guilty in Poison Conspiracy"" AP November 7 2005"
2000,Copper Radiator Sealant,USA,Chemical,0,C,A high school junior [Michelle Kniola] accused of attempting to poison a teacher who dates her aunt has been charged with criminal recklessness….According to court records the 18-year-old is accused of lacing a soft drink of Michigan City High School science teacher David Davis with copper radiator sealant earlier this month in an attempt to make him ill. ," AP ""Student accused of attempting to poison teacher who was dating her aunt"" May 17 2000"
2000,Household cleaners ,USA,Chemical,0,C,The three teenage Burger King employees contaminated hamburgers with cleaning supplies sickening one person. ," AP ""Police say two teens tampered with food"" May 10 2000; AP ""Police charge third with fast food tampering"" May 11 2000; AP ""Teen Admits Contaminating Fast-Food"" October 4 2000"
2000,Household cleaners ,USA,Chemical,0,C,Lecey Malcolm 15 yrs old put the household cleaner in her two young nieces' drinks. One girl became sick after drinking the concoction. ," AP ""Teen charged with trying to poison young nieces"" November 28 2000"
2000,Rat Poison,USA,Chemical,0,C,Femesha Foster put rat poison into her boss' soda. 236," AP ""Woman Gets 20 Years for Poisoning Boss"" January 20 2005"
2000,Rat Poison,USA,Chemical,0,C,Maryann Flanagan was videotaped putting granules of rat poison in her boss' coffee at a Wal-Mart store in Pembroke Pines FL. ," AP ""Miami woman admits to putting rat poison in boss' drink"" January 27 2000"
2000,Rat Poison,USA,Chemical,0,C,"A package of rat poison was found ""in a pot of thawing hot dogs at a grade school['s kitchen]… Cooking was stopped before lunch was served food was brought from off-site and no students were reported ill…. ""At no point were any students exposed. The potential was distant and next to nonexistent"" Bryant said. ""We're not concerned about general widespread delivery of the product."""" "," AP ""Police FBI respond to report of food tampering at school"" April 6 2000"
2000,Rat poison ,USA,Chemical,0,C,Two seventh graders were being questioned Tuesday after 34 classmates became sick after eating salsa that apparently was sprinkled with rat poison. Fifteen students were taken to area emergency rooms and 19 were examined by medical personnel at the school.," UPI ""Middle school student arrested in poisoning""  September 13 2000; AP ""34 Jacksonville students become sick after eating rat poison"" September 12 2000 also ""Investigators said 25 grams of Talon-G an anti-coagulant was put in the condiment during lunch Tuesday."
2000,Thallium,USA,Chemical,1,C,Ann Perry slipped insecticide containing thallium into her long-term boyfriend's meals for almost a year.," Bill Egbert ""Busted in Poison Slaying of Beau"" Daily News (New York) November 25 2000; Scott Shifrel ""A Plea Deal for L.I. Poisoner Woman Admits Spiking Drink but Gets only Manslaughter Rap"" Daily News (New York) February 26 2002"
2000,Thallium / Arsenic,USA,Chemical,0,C,Twelve workers at a Midwestern auto factory were poisoned when thallium and arsenic were put in their coffee pots. All eventually recovered. NOTE: No actual date of incident is given in article; in an email conversation with the author of the article he indicates they estimated date of exposure to February 2000.," D.E. Rusyniak R.B. Furbee M.A. Kirk ""Thallium and Arsenic Poisoning in a Small Midwestern Town"" Annals of Emergency Medicine March 2002 39: 307-311"
2000,Various,USA,Chemical,0,C,The girl allegedly went into an empty classroom May 10 and poured bleach laundry detergent soda perfume and sleeping pills into a 51-year-old teacher's coffee. The teacher did not drink the coffee because it smelled funny police said Monday.," AP ""Warrant sought for girl accused of poisoning teacher's coffee"" June 6 2000"
2001,Weed Killer,Brunei,Chemical,1,C,Dyg Gandan binti Matising killed her husband by lacing his beer with weed killer.," Borneo Bulletin ""Brunei: Woman poisoned husband as he abused her and kids"" August 1 2001"
2001,Rat Poison,China,Chemical,2,C,Li Feng killed two classmates at his high school in Jinan by putting rat poison in their porridge. Used banned rat poison Du Shu Qiang.," AP ""Young Chinese man executed for killing two classmates with rat poison"" September 23 2002"
2001,Rat Poison,China,Chemical,2,C,Twin 16-year-old sisters have been sentenced to life imprisonment for murdering their parents by spiking their rice porridge with rat poison. The crime was committed on July 18 after the parents reprimanded the two girls for poor high school entrance exam scores that kept the girls out of one of the best schools in Anshun city southern Guizhou province.," The Advertiser ""Twins get life over poison"" December 27 2001"
2001,Rat Poison,China,Chemical,3,C,"Du Keping bought rat poison in order to kill his son and wife. Before doing so he wanted to test the effectiveness of the poison and so ""spiked bottles of soft drinks at two branches of the Wandelong Supermarket chain in Nanyang city. One customer who bought a soft drink later died and four became seriously ill. About a dozen more were saved after receiving treatment at hospitals."""," Klaudia Lee ""Man killed family with rat poison"" South China Morning Post 19 September 2001."
2001,Rat Poison,China,Chemical,4,C,Between December 1998 and January 2001 Li Hujie poisoned in quick succession four husbands by lacing their drinks with rat poison.," Deutsche Presse-Agentur ""Chinese police catch 'serial husband poisoner'"" February 26 2001"
2001,Rat poison ,China,Chemical,0,C,A contract dispute among Chinese noodle-makers was believed to be behind the illnesses of about 120 people who had eaten noodles laden with rat poison at restaurants in central China news reports said on Wednesday. The China Daily reported that 93 victims of poisoning remained hospitalized on Wednesday in the towns of Ningxiang and Changsha in Hunan province. Authorities reportedly suspected that two brothers who had leased a noodle factory from two of its owners had got into a contract dispute with them and put rat poison in their products before they fled from the area. The poisonings occurred at 16 restaurants that got noodles from the factory.1 ," Deutsche Presse-Agentur ""Scores of Chinese sickened by noodles laden with rat poison"" August 8 2001"
2001,Pesticide,Hong Kong,Chemical,0,C/Ex,"Using the name ""Hong Kong Laden"" the two Ma Chiu-sing and Kwok Kuk-heung  in an extortion plot designed to garner money and oust the CEO of a local company placed in a package of mashed potatoes and a bottle of chocolate drink at two supermarkets the pesticide carbofuran."," Michael Ng ""Poison find at 'threat' salon"" Hong Kong Imail October 4 2001; Hong Kong Mail ""Couple in court over plot to oust Tung"" October 5 2001."
2001,Unknown Poison,Japan,Chemical,0,Unknown,Two co-workers were taken ill after drinking a soft drink laced with an unidentified chemical. It is not clear if the drink was contaminated at the retail store or at the workplace. ," The Daily Yomiuri ""2 hospitalized after drinking beverage laced with poison"" 27 June 2001"
2001,Unknown Poison,Nigeria,Chemical,1,C,Rakiya Abdu put poison in her husband's drink which was drunk by her foster daughter. ," Africa News ""Woman Charged With Killing Foster Daughter"" October 23 2001."
2001,Strychnine,Northern Ireland,Chemical,0,C,Mad Dog Adair in prison - someone put rat poison containing strychnine in a soft drink. ," Andrew Alderson ""RUC launches 'Mad Dog' Adair poison inquiry"" The Sunday Telegraph (United Kingdom) March 11 2001; Donna Carton ""Jail Inmate Tried to Kill Adair with Rat Poison"" Sunday Mirror (UK) March 11 2001"
2001,Rat Poison,Philippines,Chemical,0,C,The 16 yr old maid feeling mistreated by her employers laced their rice with Racumin-brand rat poison. ," Jerome Aning ""Metro Housemaid 16 Serves Rice with Rat Poison"" Philippine Daily Inquirer September 12 2001"
2001,Methomyl,Singapore,Chemical,1,C,Quek Loo Ming worked at the Institute of Science & Forensic Medicine and stole methomyl (pesticide) in the lab as evidence in a police investigation. Quek spiked a bottle of mineral water at a NYE party. ," AP ""Retired Singaporean chemist pleads guilty to poisoning neighbors"" August 2 2002"
2001,Antifreeze,UK,Chemical,0,C,In an office prank someone put antifreeze (containing methanol) into a co-worker's orange juice. ," Chris Riches ""Poisoned Lad Saved by Booze"" The Sun (UK) February 23 2001"
2001,Prescription Drug,UK,Chemical,0,C,Alexandra Lucy Ashford put five types of prescription drugs into her roommate's pasta. ," Shenai Raif ""Woman Poisoned Flatmate's Food After Row - Court"" Press Association March 12 2001"
2001,Antifreeze,USA,Chemical,1,C,Lynn Turner was also convicted (see 1995 case) of poisoning her boyfriend by putting antifreeze in his jell-O or drink. ," AP ""Georgia jury finds woman guilty of murdering boyfriend with antifreeze"" March 24 2007"
2001,Arsenic,USA,Chemical,0,C,Michael Vaught was charged with attempted murder after putting weed killer (containing arsenic) into his wife's drink. ," AP ""Leawood man pleads guilty in weed killer poisoning"" March 22 2002"
2001,Faecal Matter,USA,Biological,0,C,Marco Arellano a homeless man with apparent mental problems mixed urine and faeces into two spray bottles and over a number of months contaminated around a dozen salad bars in Manhattan. On each occasion someone noticed the action and called the health authorities. Of interest to media studies students one of the articles on this incident is penned by disgraced journalist Jayson Blair. ," Jayson Blair ""Man Accused of Spraying His Waste on Salad Bar"" The New York Times April 8 2001; Eric Lipton ""Suspect in Spraying at Salad Bar Is Charged in a Second Incident"" The New York Times April 9 2001; David Usborne ""What a Relief! But My Salad Bar Days Are Over"" The Independent (London) April 16 2001"
2001,Rat Poison,USA,Chemical,0,C,The two girls Jessica Leigh Woolsey and Toni Woolsey of Arkansas put rat poison in their grandmother's noodles. She thought they smelled funny and didn't eat them.," AP ""Police say Van Buren girls poisoned grandmother"" June 21 2001"
2001,Rat Poison,USA,Chemical,0,C,Paul Turner attempted to kill his wife by lacing cookies with D-con-brand rat poison. ," AP ""Man charged with trying to kill wife and unborn child with poison"" November 8 2002; AP ""Man accused of trying to poison wife should stand trial judge rules"" November 20 2002"
2001,Thallium,USA,Chemical,0,C,Marshall Howard Murdock poisoned his wife with thallium he purchased from a mail-order company. In 2000 he poisoned his girlfriend with arsenic (See 2000 reference). ," AP ""Tennessee man sentenced for giving Rankin woman arsenic"" August 30 2002"
2001,Cyanide,Vietnam,Chemical,13,C,Le Thanh Van poisoned 13 people with cyanide between 1998 and 2001. ," Agence France-Presse ""Vietnam's worst alleged serial killer goes on trial"" 25 August 2004; Deutsche Presse-Agentur ""Death sentence for Vietnam's most deadly serial killer"" September 1 2004;"
2002,Unknown Poison,Bangladesh,Chemical,1,C,Poisoned mango juice sent in revenge for turning down marriage proposal. ," United News of Bangladesh ""Soft Drink-Poison"" May 3 2002"
2002,Rat Poison,China,Chemical,0,C,Two caterers He Zhaohai and Tang Bixin feuding with school admin put rat poison (poss. dushuqiang) into breakfast at school in Changde. ," AP ""China arrests two on charges they put rat poison in school food sickening 193 students and teachers"" December 12 2002"
2002,Rat Poison,China,Chemical,1,C,"Zhong Dongxiang put rat poison "" into a milk pail while the milkman was making a delivery"" in order to throw authorities off of his trail (much like Paul Agutter case in Edinburgh) and also added ""more poison into milk at his home which his wife consumed and was later killed."" "," China Daily ""Husband Arrested In Wife's Death"" October 11 2002; AFP ""Man Gets Death Sentence in China for Poisoning Neighbors Killing Wife"" December 4 2002"
2002,Tetramine,China,Chemical,2,C,Jiang Xingyou the owner of a restaurant poisoned a rival one with dushuqiang killing two employees. Anqing Anhui Province. ," AFP ""Two Dead in Revenge Poisoning in Central China Restaurant"" November 21 2002"
2002,Tetramine,China,Chemical,38,C,"In the town of Tangshan near Nanjing ""[Chen Zhengping] put poison in the rival eatery's water supply and noodles hoping to give breakfast-eaters stomach trouble."" Used banned rat poison Du Shu Qiang.  Some confusion over numbers - various newspaper reports put the death toll 38 41 49 and 100. "," Deutsche Presse-Agentur ""Breakfast snacks poison hundreds in south China"" September 15 2002 [this report states ""The official Xinhua News Agency had briefly reported 41 dead but quickly deleted the report Hong Kong's Ming Pao newspaper said. The newspaper said hospital officials indicated the death toll could be as high as 80.""; Deutsche Presse-Agentur ""Rat poison blamed for mass poisoning in China"" September 16 2002; Katherine Arms ""Suspected rat poison kills dozens in China"" UPI September 16 2002 [this report states: ""On Saturday Xinhua reported on its Web site that 41 people had died in the poisoning. It later changed its count ""a number"" of people killed. A Hong Kong-based Chinese newspaper Ta Kung Pao reported on Sunday that 77 people had died by Saturday afternoon and estimated the number of dead would rise to more than 100.""]; Japan Economic Newswire ""102 die from food poisoning near Nanjing: source"" September 16 2002; Deutsche Presse-Agentur ""At least 49 dead as China arrests rat poison suspect"" September 17 2002; Jason Leow ""Rat poison found in food that killed 100 in Nanjing"" The Straits Times (Singapore) September 17 2002; Jeremy Page ""Restaurateur confesses to poison deaths"" National Post (Canada) September 18 2002; See - 49 death toll: The Advertiser (Australia) ""Suspect held in poison killings"" September 18 2002"
2002,Unknown Poison,China,Chemical,0,C,Seventy kindergarten children and two teachers have been hospitalized in south-eastern China after falling ill from a school lunch of corn porridge laced with rat poison by Huang Hu in Wuchuan's Huangpo Township on the Leizhou Peninsula Guangdong Province. The owner of a rival kindergarten was jealous of the success of the other. ," AP ""Seventy children in China hospitalized after eating school lunch containing rat poison"" November 25 2002; China Daily ""Poisoning Strikes 72 in Kindergarten"" November 27 2002; Martin Fackler ""Suspect detained in school poisoning that sickened 70 kindergarten children"" AP November 28 2002; BBC Monitoring International Reports ""Chinese Police Arrest Suspect in Kindergarten Poisoning Case"" November 28 2002"
2002,Sodium Cyanide and Sodium Azide,Japan,Chemical,0,C,Kazuhiro Meguro mixed sodium cyanide and sodium azide into the sugar pot at his workplace. Meguro worked at a chemical company and so had access to the materials. ," The Japan Times ""Worker held after poisoning office's coffee sugar"" August 29 2002"
2002,Cyanide,USA,Chemical,0,C,Tashala Hayman bought two pounds of cyanide from a chemical company in Texas and spiked a can of coke which she sent to Senator Edward Kennedy. The woman was arrested on separate charges (police found another can in her home addressed to Prince William) and the can was intercepted in the DC mail system. ," AP ""Attorney in poison pop case says woman needs evaluation"" September 19 2002"
2002,Insecticide/Nicotine,USA,Chemical,0,C,"On Dec. 2002 Randy Jay Bertram (a supermarket employee) laced 250 pounds of ground beef with insecticide. Those sickened included 40 children. The insecticide ""Black Leaf 40"" has high levels of nicotine in it. "," James Prichard ""Grocery store worker accused of poisoning beef; 40 fell ill prosecutor says"" AP February 13 2003; James Prichard ""Former grocery store employee pleads guilty to lacing beef with insecticide"" AP May 21 2003; James Prichard ""Ex-grocery worker sentenced to nine years for poisoning beef"" AP September 19 2003; Center for Disease Control ""Nicotine Poisoning After Ingestion of Contaminated Ground Beef - Michigan 2003"" Morbidity and Mortality Weekly Report (MMWR) May 9 2003 available at: http://www.cdc.gov/MMWR/preview/mmwrhtml/mm5218a3.htm"
2002,Paint thinner,USA,Chemical,0,C,Travis Jay Shoemaker put airbrush thinner in his father's coffee. ," AP ""Blaine teen-ager charged with trying to poison father"" June 8 2002"
